STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
         78;20190516;-999;-999;-999;    3;   0.9;   4;-999;-999;  -999;   8.5;    -999;    9.6;   70.83;   12.7;    7.8;    6.6;eor
         78;20190517;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  10.8;    -999;   11.8;   79.13;   15.4;    8.0;    4.3;eor
         78;20190518;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  11.0;    -999;   14.9;   68.75;   23.1;    5.7;    2.8;eor
         78;20190519;-999;-999;-999;    3;   0.3;   4;-999;-999;  -999;  12.1;    -999;   16.6;   67.17;   25.2;    7.8;    4.7;eor
         78;20190520;-999;-999;-999;    3;   0.4;   4;-999;-999;  -999;  15.1;    -999;   15.6;   86.04;   21.0;   12.5;   10.3;eor
         78;20190521;-999;-999;-999;    3;   0.0;   4;-999;-999;  -999;  13.7;    -999;   13.9;   86.88;   17.0;   11.9;   11.9;eor
         78;20190522;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  10.3;    -999;   12.9;   70.92;   18.2;    6.7;    2.8;eor
         78;20190523;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;   8.7;    -999;   14.6;   56.96;   21.9;    4.4;    1.0;eor
         78;20190524;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  10.2;    -999;   15.9;   60.79;   24.1;    7.4;    3.2;eor
         78;20190525;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  10.0;    -999;   12.1;   71.75;   17.8;    6.9;    2.9;eor
         78;20190526;-999;-999;-999;    3;   2.0;   4;-999;-999;  -999;  11.9;    -999;   16.1;   66.42;   21.7;    6.9;    4.0;eor
         78;20190527;-999;-999;-999;    3;   0.0;   0;-999;-999;  -999;  11.5;    -999;   14.3;   72.29;   18.4;    7.5;    5.0;eor
